,DEPARTAMENTO,MUNICIPIO,CODIGO REGISTRO,FECHA REGISTRO,CAEB_SEP,CIRC,NOMBRE DE LA UNIDAD
8788,COCHABAMBA,COCHABAMBA,0301011001,2018-01-23,17120,4,FARIAS JEANS S.R.L
8789,COCHABAMBA,COCHABAMBA,0301011000,2018-01-23,18101,4,LAVANDERIA VICTORIA
8790,COCHABAMBA,QUILLACOLLO,0309010326,2018-01-26,28920,4,IMPORTADORA CAMPERO S.R.L (Chapería)
8791,BENI,TRINIDAD,0801010140,2018-01-29,20220,4,CARPINTEIA DON WILSON
8792,LA PAZ,EL ALTO,0201043372,2018-01-29,15412,4,"ELABORACION DE GALLETAS DE ALMENDRA ""ENDA"""
8793,TARIJA,CERCADO,0601010010,2018-01-29,24111,3,"""OXISUR S.R.L."""
8794,COCHABAMBA,COCHABAMBA,0301011002,2018-01-29,28920,4,gnc jose abril sucursal 1
8795,LA PAZ,EL ALTO,0201043372,2018-01-29,15419,4,"ELABORACION DE GALLETAS DE ALMENDRA ""ENDA"""
8796,TARIJA,CERCADO,0601010580,2018-01-29,15112,3,MATADERO DE POLLOS ´´AVIASA´´
8797,SANTA CRUZ,MONTERO,0710010585,2018-01-30,15312,4,"INGENIO ARROCERO ""SISSI"""
8798,COCHABAMBA,COCHABAMBA,0301011004,2018-01-30,15330,4,industrias pico de oro srl
8799,SANTA CRUZ,MONTERO,0710010586,2018-01-30,15112,4,FAENEADORA GABY
8800,COCHABAMBA,SACABA,0310010138,2018-01-30,25110,4,TECNOLOGIA EN RECAUCHUTADO S.R.L
8801,LA PAZ,VIACHA,0208010272,2018-02-02,36990,4,AGREBOL S.R.L
8802,COCHABAMBA,SACABA,0310010049,2018-02-02,15202,4,ALIMENTOS ALFA PRODUCTOS NORDLAND LTDA
8803,LA PAZ,NUESTRA SEÑORA DE LA PAZ,0201001858,2018-02-02,28920,4,TALLER DE CHAPERIA MANPAZO
8804,COCHABAMBA,SACABA,0310010049,2018-02-02,15542,4,ALIMENTOS ALFA PRODUCTOS NORDLAND LTDA
8805,COCHABAMBA,SACABA,0310010049,2018-02-02,15132,4,ALIMENTOS ALFA PRODUCTOS NORDLAND LTDA
8806,COCHABAMBA,TIQUIPAYA,0309030095,2018-02-03,28110,4,ALUVI
8807,SANTA CRUZ,LA GUARDIA,0070104062,2018-02-05,15330,4,FABRICA DE ALIMENTOS BALACEADOS N1
8808,TARIJA,CERCADO,0070104061,2018-02-05,15330,4,FABRICA DE ALIMENTOS BALACEADOS N 3
8809,COCHABAMBA,COCHABAMBA,0301011005,2018-02-05,20220,4,barraca esperanza mamani molina
8810,COCHABAMBA,COCHABAMBA,0301011006,2018-02-05,26960,4,empresa grademar
8811,LA PAZ,VIACHA,0208010273,2018-02-06,26930,3,GRUPO INDUSTRIAL VILICACH
8812,COCHABAMBA,SACABA,0310010364,2018-02-06,15411,4,PANADERIA LARA
8813,LA PAZ,NUESTRA SEÑORA DE LA PAZ,0201001859,2018-02-07,36101,4,"CEB. INDUSTRIA (CARPINTERIA, EBANISTERIA BASCOPE)"
8814,SANTA CRUZ,PORTACHUELO,0706010011,2018-02-07,15312,4,INGENIO ARROCERO SAN JOSE
8815,SANTA CRUZ,MONTERO,0710010590,2018-02-09,15112,4,FAENEADORA CARLA Y DANIELA
8816,COCHABAMBA,COCHABAMBA,0301011007,2018-02-09,28110,4,cerrajeria pardo
8817,CHUQUISACA,SUCRE,0101010267,2018-02-09,26942,3,YESERIA CALERA LA CAROLINA
8818,CHUQUISACA,SUCRE,0101010317,2018-02-11,15112,4,"ASOCIACION DE PRODUCTOS Y FAENEADORES DE AVES ""SANTIAGUITO""-APFAS"
8819,CHUQUISACA,SUCRE,0101010040,2018-02-15,26942,3,YESERIA GIMENES
8820,LA PAZ,EL ALTO,0208010274,2018-02-15,24290,4,INDUSTRIA MCASJ
8821,BENI,TRINIDAD,0801010152,2018-02-15,15411,4,"PANADERIA ""LOS TOCOS"""
8822,LA PAZ,NUESTRA SEÑORA DE LA PAZ,0601010572,2018-02-15,20100,3,INDUSTRIAS GRAFICAS ROBINSON
8823,SANTA CRUZ,WARNES,0702010158,2018-02-15,17113,4,TEISA-TEXTILES Y ENVASES INDUSTRIALES BOLIVIANOS S.A.
8824,COCHABAMBA,TIQUIPAYA,0309030136,2018-02-15,28920,4,SERVICIO MECANICO INDUSTRIAL
8825,LA PAZ,EL ALTO,0208010274,2018-02-15,15542,4,INDUSTRIA MCASJ
8826,COCHABAMBA,COCHABAMBA,0301011008,2018-02-16,28920,4,taller de conversiones de vehiculos a gas natural vehicular ergnv
8827,SANTA CRUZ,MONTERO,0710010587,2018-02-19,20100,4,BARRACA Y CARPINTERIA LA PAMPA
8828,SANTA CRUZ,MONTERO,0710010588,2018-02-19,15312,4,GRANOS RV
8829,LA PAZ,NUESTRA SEÑORA DE LA PAZ,0201001860,2018-02-19,28920,4,"MANTENIMIENTO - REPARACIÓN DE VEHÍCULOS ""QUINTEROS"""
8830,SANTA CRUZ,LA GUARDIA,0070104059,2018-02-19,15499,4,"PROCESADORA DE ALIMENTOS ""SHERRY"""
8831,SANTA CRUZ,PORTACHUELO,0706010018,2018-02-20,15112,4,MATADERO Q´  POLLO
8832,LA PAZ,EL ALTO,0201042377,2018-02-20,15411,4,HORNO EL CHAMILLO
8833,LA PAZ,EL ALTO,0201043566,2018-02-20,15411,4,PANADERIA 13 DE ABRIL
8834,LA PAZ,EL ALTO,0201042126,2018-02-20,28920,4,CUPIDO TRADAING S.R.L.
8835,LA PAZ,VIACHA,0208010275,2018-02-20,26930,3,INDUSTRIA DE CERAMICA BOLIVIANA FLOR VELAS S.R.L.
8836,LA PAZ,EL ALTO,0201043569,2018-02-21,24290,3,"INDUSTRIAS QUIMICAS ""VICEHNSA S.R.L."""
8837,LA PAZ,EL ALTO,0201042225,2018-02-21,15411,4,PANADERIA PAN DE VIDA
8838,LA PAZ,EL ALTO,0201043573,2018-02-21,28999,4,RECAR
8839,LA PAZ,EL ALTO,0201043568,2018-02-21,28920,4,TALLER MARCEKY
8840,LA PAZ,EL ALTO,0201043572,2018-02-21,28110,4,ACERCOMET BETO
8841,LA PAZ,VIACHA,0208010294,2018-02-21,26930,3,GRUPO INDUSTRIAL MINERO SAN MIGUEL
8842,LA PAZ,EL ALTO,0201043571,2018-02-21,15411,4,PANADERIA ANA
8843,LA PAZ,EL ALTO,0201043579,2018-02-21,15411,4,PANADERIA MARQUEZ
8844,LA PAZ,EL ALTO,0201043570,2018-02-21,15512,3,ELABORACION DE BEBIDAS ALCOHOLICAS BARBAS
8845,LA PAZ,EL ALTO,0201043574,2018-02-21,20220,4,BARRACA NINA
8846,LA PAZ,EL ALTO,0201043567,2018-02-21,15411,4,PANADERIA NUEVO AMANECER
8847,LA PAZ,EL ALTO,0201043575,2018-02-22,15411,4,PANADERIA SAN PABLO
8848,SANTA CRUZ,MONTERO,0710010589,2018-02-22,15312,4,"INGENIO ARROCERO ""ARCO IRIS"""
8849,COCHABAMBA,COLCAPIRHUA,0309050303,2018-02-23,26930,4,LADRILLERIA FATTY
8850,LA PAZ,EL ALTO,0201043576,2018-02-23,20220,4,BARRACA DC ACHU
8851,COCHABAMBA,COLCAPIRHUA,0309050304,2018-02-23,26930,4,LADRILLERA PEDRO
8852,LA PAZ,EL ALTO,0201043577,2018-02-26,15411,4,PANADERIA NATY
8853,LA PAZ,EL ALTO,0201043578,2018-02-26,15411,4,PANADERIA TONY
8854,LA PAZ,EL ALTO,0201042106,2018-02-27,37200,3,RECICLADORA DE PAPEL IRMA SOL
8855,LA PAZ,EL ALTO,0201042106,2018-02-27,21091,3,RECICLADORA DE PAPEL IRMA SOL
8856,BENI,TRINIDAD,0801010141,2018-02-27,26930,3,CERAMICA RAMIREZ
8857,COCHABAMBA,SACABA,0310010274,2018-02-27,28110,4,ESTRUTEC S.R.L
8858,COCHABAMBA,COCHABAMBA,0301011010,2018-02-27,28920,4,"taller de conversiones de vehiculos a gas natural vehicular ""italy GNV"""
8859,COCHABAMBA,COCHABAMBA,0301011009,2018-02-27,36101,4,CARPINTERIA MIRIAN OLIVA GONZALES UGARTE
8860,COCHABAMBA,COCHABAMBA,0301011009,2018-02-27,20220,4,CARPINTERIA MIRIAN OLIVA GONZALES UGARTE
8861,LA PAZ,NUESTRA SEÑORA DE LA PAZ,0201001861,2018-02-28,15314,4,"ALIANZA NUEZ AMAZONICA ""A.N.A. S.R.L"""
8862,LA PAZ,EL ALTO,0201041604,2018-03-05,15419,4,PANIFICADORA LA FAVORITA
8863,LA PAZ,EL ALTO,0201040094,2018-03-05,15314,4,TORREMOLINOS S.R.L.
8864,COCHABAMBA,COCHABAMBA,0301010009,2018-03-05,19110,2,COMPAÑOA IMPORTADORA EXPORTADORA NACIONAL SUAMERICANA CIENSA LTDA
8865,COCHABAMBA,COCHABAMBA,0301010009,2018-03-05,19201,2,COMPAÑOA IMPORTADORA EXPORTADORA NACIONAL SUAMERICANA CIENSA LTDA
8866,LA PAZ,EL ALTO,0201040094,2018-03-05,15313,4,TORREMOLINOS S.R.L.
8867,COCHABAMBA,COCHABAMBA,0301011012,2018-03-05,28920,4,chaperia Taller Coca
8868,COCHABAMBA,COCHABAMBA,0301011011,2018-03-05,15202,4,HELADERIA COCHABAMBINO
8869,LA PAZ,EL ALTO,0201041604,2018-03-05,15411,4,PANIFICADORA LA FAVORITA
8870,LA PAZ,EL ALTO,0201040094,2018-03-05,15311,4,TORREMOLINOS S.R.L.
8871,SANTA CRUZ,SANTA CRUZ DE LA SIERRA,0701011174,2018-03-06,15330,4,NUTRIPEC-NUTRICION Y SANIDAD PECUARIA
8872,BENI,TRINIDAD,0801010142,2018-03-07,20220,4,"CARPINTERIA ""LAS LOMAS"""
8873,LA PAZ,EL ALTO,0201043580,2018-03-08,19203,4,GAVAPLAS S.R.L.
8874,COCHABAMBA,COCHABAMBA,0301011013,2018-03-08,36101,4,EVOLUTION DESIGN
8875,LA PAZ,EL ALTO,0201043581,2018-03-09,,4,INDUSTRIAS ECOLOGICAS MUNDO VERDE CARANAVI
8876,LA PAZ,EL ALTO,0201043581,2018-03-09,15314,4,INDUSTRIAS ECOLOGICAS MUNDO VERDE CARANAVI
8877,ORURO,ORURO,0401010837,2018-03-09,24130,2,KONSTRUPOR S.R.L.
8878,LA PAZ,EL ALTO,0201043581,2018-03-09,15433,4,INDUSTRIAS ECOLOGICAS MUNDO VERDE CARANAVI
8879,SANTA CRUZ,LA GUARDIA,0070104019,2018-03-09,15530,2,CERVECERIA BOLIVIANA NACIONAL S.A
8880,SANTA CRUZ,SANTA CRUZ DE LA SIERRA,0701040019,2018-03-09,15530,4,CERVECERIA BOLIVIANA NACIONAL S.A PLANTA SANTA CRUZ
8881,TARIJA,YACUIBA,0603010099,2018-03-09,15330,4,AGROINDUSTRIAS LOCHMANN S.A.
8882,COCHABAMBA,COCHABAMBA,0301011014,2018-03-09,24242,4,LABORATORIO AHM VIDA
8883,COCHABAMBA,QUILLACOLLO,0309010332,2018-03-10,20210,4,LAPTRON S.R.L
8884,COCHABAMBA,QUILLACOLLO,0309010332,2018-03-10,28999,4,LAPTRON S.R.L
8885,LA PAZ,EL ALTO,0201040056,2018-03-12,15419,4,Molino Andino S.A.
8886,LA PAZ,EL ALTO,0201040056,2018-03-12,15441,4,Molino Andino S.A.
8887,LA PAZ,EL ALTO,0201040056,2018-03-12,15311,4,Molino Andino S.A.
8888,ORURO,ORURO,0401010349,2018-03-12,37200,4,REICLADORA DE CHATARRA
8889,ORURO,ORURO,0401010349,2018-03-12,37100,4,REICLADORA DE CHATARRA
8890,LA PAZ,VIACHA,0208010276,2018-03-12,26930,3,CERAMICA LINCOR S.R.L.  MARIA ESTHER BLANCO DE SALGUERO
8891,LA PAZ,EL ALTO,0201042517,2018-03-13,15411,4,PANADERIA DON PANCHO
8892,LA PAZ,EL ALTO,0201043499,2018-03-13,15411,4,"PANADERIA ""GOYITA"""
8893,LA PAZ,EL ALTO,0201042518,2018-03-13,15411,4,PANADERIA EL REY
8894,SANTA CRUZ,MONTERO,0710010591,2018-03-13,15112,4,FAENEADORA ROSA NUÑEZ
8895,CHUQUISACA,SUCRE,0101010356,2018-03-14,15411,4,PANADERIA LAS WAWAS
